0000000380,scans,0000000106,DataLength
"header",0000000025,"lines"
"Date",02/05/2023,"Time",13:31:39
"ID","HAL V RC RGA 201 #12461","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",4.00,4.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",18.00,18.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","SEM","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","none",0.40,0.40,0.01,3000.000,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",250,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",927,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Scan 1 : He 4.00","Scan 2 : water 18.00","Scan 3 : Nitrogen 28.00","Scan 4 : Oxygen 32.00","Scan 5 : CO2 44.00","Scan 6 : none 0.40",
01:09:20,   4160371,  1.70722e-07,  1.97662e-10,  1.04753e-09,  5.08078e-11,  6.97250e-11, -8.08859e-13,
01:10:10,   4210218,  1.69948e-07,  2.01573e-10,  9.98360e-10,  5.90950e-11,  6.55260e-11, -2.43762e-12,
01:10:57,   4257139,  1.63871e-07,  2.08712e-10,  1.07571e-09,  3.59124e-11,  7.06090e-11,  4.89183e-12,
01:11:46,   4306935,  1.67186e-07,  1.78214e-10,  1.14201e-09,  4.76696e-11,  6.35370e-11, -2.54481e-12,
01:12:33,   4353855,  1.68180e-07,  2.09817e-10,  1.10720e-09,  3.94263e-11,  6.51950e-11, -9.67970e-13,
01:13:18,   4398673,  1.72158e-07,  1.78656e-10,  1.03538e-09,  4.32717e-11,  6.65210e-11,  4.96144e-13,
01:14:10,   4450620,  1.75473e-07,  1.93242e-10,  1.05886e-09,  3.64870e-11,  6.12170e-11, -5.09404e-12,
01:14:54,   4494385,  1.72379e-07,  1.95474e-10,  1.09118e-09,  5.84100e-11,  6.53050e-11, -3.51058e-12,
01:15:41,   4541331,  1.67628e-07,  1.86192e-10,  1.06853e-09,  3.08736e-11,  5.30400e-11,  4.54486e-12,
01:16:33,   4593253,  1.70059e-07,  2.01927e-10,  1.12074e-09,  5.43880e-11,  6.26530e-11,  2.07076e-12,
01:17:25,   4645173,  1.67628e-07,  1.79031e-10,  1.09754e-09,  5.59571e-11,  6.83990e-11, -1.23759e-13,
01:18:17,   4697093,  1.68954e-07,  1.85440e-10,  1.18897e-09,  5.37250e-11,  6.37580e-11, -1.39892e-12,
01:19:06,   4746890,  1.70280e-07,  1.52556e-10,  1.04532e-09,  5.28189e-11,  6.18800e-11,  1.61440e-12,
01:19:58,   4798838,  1.66965e-07,  1.76048e-10,  1.08428e-09,  5.26421e-11,  4.96145e-11,  6.53938e-12,
01:20:50,   4850783,  1.71606e-07,  1.69683e-10,  1.12875e-09,  5.67969e-11,  6.33160e-11,  8.69634e-13,
01:21:42,   4902676,  1.72932e-07,  1.56379e-10,  1.13649e-09,  4.41336e-11,  6.18800e-11, -1.13593e-12,
01:22:34,   4954595,  1.74921e-07,  1.65352e-10,  1.06632e-09,  4.72718e-11,  6.22110e-11,  5.95484e-12,
01:23:21,   5001514,  1.69285e-07,  1.90325e-10,  1.12544e-09,  5.40123e-11,  5.64655e-11, -9.46980e-13,
01:24:13,   5053433,  1.73816e-07,  1.66059e-10,  1.11522e-09,  5.35703e-11,  6.69630e-11,  3.09399e-13,
